gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,1,1,1,54,0,1,0,2,2,2,2,2,2,2,1,0,78.3,4732.35,0
0,0,1,0,52,1,0,0,2,2,2,2,2,2,2,0,1,99.95,5950.2,0
1,0,1,1,54,1,2,1,2,2,2,0,2,2,2,1,1,121.9,7767.25,0
0,0,1,1,52,1,2,0,2,0,0,0,0,2,1,0,0,78.7,4543.15,0
1,0,0,0,11,0,1,0,0,0,0,0,0,0,1,1,3,38.35,788.05,0
1,0,1,1,24,1,2,0,2,2,0,0,2,0,0,1,0,82.9,3058.3,0
1,0,1,1,53,1,0,1,2,2,2,2,2,2,2,0,1,122.8,7782.85,0
0,0,1,0,34,1,0,0,2,0,2,0,2,0,1,1,3,77.8,3410.6,0
1,1,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,97.35,790.15,1
0,0,1,1,19,1,2,1,0,0,0,0,2,2,0,1,2,108.75,3314.15,0
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,0,34.45,20.95,0
0,0,1,0,19,1,0,2,1,1,1,1,1,1,0,0,0,33.0,805.2,0
0,0,0,0,12,1,2,1,0,0,2,0,2,2,0,0,2,113.95,3096.9,0
1,1,1,0,18,1,2,1,0,2,0,0,2,2,0,1,2,110.0,3436.1,1
1,0,0,0,0,1,2,1,0,2,2,0,2,2,0,1,2,120.2,1253.9,1
0,0,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,33.55,284.3,0
1,0,1,1,32,1,2,1,2,0,2,0,2,2,0,0,1,119.45,5341.8,1
0,0,0,0,3,0,1,0,2,0,0,2,0,0,2,0,3,48.6,770.4,0
1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,88.85,75.35,1
0,0,1,1,0,1,0,1,0,0,0,0,2,0,0,1,2,94.2,239.45,0
1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,2,63.4,49.9,0
0,0,1,1,14,1,0,1,0,2,0,0,2,0,0,1,2,99.6,2723.75,0
0,1,0,0,0,1,0,1,0,2,0,0,2,2,0,1,2,108.5,1120.3,1
0,0,0,1,0,1,0,1,0,0,2,2,2,0,0,1,2,104.6,964.35,0
1,0,1,1,54,1,2,1,2,2,0,2,0,2,2,1,1,111.25,6991.6,0
0,1,1,0,28,1,2,1,0,0,0,2,2,2,1,0,2,113.75,4753.85,0
0,0,1,1,54,1,2,0,2,0,2,2,2,2,2,0,1,98.2,5893.9,0
1,0,0,0,2,1,2,1,0,0,0,0,2,0,0,1,2,98.75,1734.5,1
0,0,1,1,52,1,0,0,2,2,2,2,0,2,1,0,1,87.6,5222.3,0
0,0,1,0,17,1,0,0,0,2,0,2,0,0,0,0,2,70.35,1861.1,0
1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,89.1,661.55,0
1,0,1,1,17,1,2,1,0,2,2,2,2,2,0,1,2,123.45,3782.4,0
1,0,1,0,20,1,0,1,2,2,0,0,0,0,0,1,2,92.95,3013.05,1
1,0,0,0,23,1,0,2,1,1,1,1,1,1,2,0,3,33.65,802.35,0
1,0,0,0,52,0,1,0,2,0,2,2,0,2,2,0,0,61.9,3442.8,0
1,1,1,1,34,1,2,0,0,2,2,0,2,2,1,1,2,94.35,4079.55,0
1,0,1,1,38,1,2,1,0,0,2,2,2,2,2,1,2,116.7,5873.75,0
0,0,1,0,54,1,2,1,0,2,2,2,2,2,2,1,0,123.95,7982.5,0
0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,62.35,736.8,0
0,0,0,0,48,1,2,0,2,2,2,2,2,2,2,1,1,103.55,5965.95,0
1,0,1,0,0,1,0,1,0,2,0,0,0,2,0,1,1,98.55,999.8,0
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,0,33.7,20.2,1
1,1,0,0,33,1,2,1,0,2,0,0,0,0,1,1,0,93.1,3974.7,0
0,0,1,0,52,1,2,0,2,0,2,2,0,0,2,0,1,78.8,4759.75,1
1,0,1,1,3,1,2,0,2,2,0,2,2,0,1,0,3,91.0,1625.0,1
1,1,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,74.4,551.95,0
1,0,1,1,0,0,1,0,2,0,2,2,0,2,2,0,1,63.15,305.55,0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,83.3,146.65,0
0,0,0,1,0,1,2,0,2,0,0,0,0,2,0,0,2,78.3,1166.7,0
1,0,1,1,12,1,0,2,1,1,1,1,1,1,2,0,3,34.75,711.9,0
1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,88.85,75.35,1
1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,94.95,912.0,0
1,0,0,1,9,1,0,0,2,2,0,0,0,0,1,0,3,69.7,1567.55,0
1,0,1,1,0,1,0,2,1,1,1,1,1,1,2,0,3,34.0,290.55,0
0,1,1,0,21,1,0,1,2,2,0,0,2,2,1,0,3,112.6,3877.95,0
0,0,1,1,23,1,2,0,2,2,2,0,2,0,1,1,1,91.85,3211.2,0
1,0,1,1,52,1,2,1,0,2,0,0,2,2,2,0,0,111.8,6859.5,1
0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,2,99.3,272.2,1
1,0,0,0,0,1,2,2,1,1,1,1,1,1,0,1,2,39.85,378.6,0
1,0,1,1,51,1,2,1,0,0,2,0,0,0,2,1,1,92.7,5420.65,0
0,0,1,1,27,1,0,2,1,1,1,1,1,1,2,0,3,34.35,892.15,0
0,0,0,0,50,0,1,0,2,2,2,2,2,2,2,0,1,77.85,4539.6,0
0,0,1,1,49,0,1,0,2,0,0,2,0,0,2,0,1,49.2,2545.7,0
1,1,0,0,46,1,0,2,1,1,1,1,1,1,2,1,0,33.55,1198.05,0
1,0,0,0,0,1,0,1,0,0,0,0,2,2,0,1,2,103.4,89.9,1
0,0,1,0,0,1,2,1,0,2,0,0,0,2,0,1,2,104.25,512.25,0
1,0,1,0,48,1,2,0,0,0,0,2,0,2,0,0,2,77.35,4264.6,0
1,0,0,0,26,1,2,1,0,0,2,0,0,2,0,1,3,103.9,4063.0,0
1,0,1,0,0,1,2,1,0,2,0,0,2,2,0,1,2,113.7,420.2,1
0,0,0,0,45,1,2,0,2,2,2,2,0,2,2,1,1,93.8,4995.35,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,59.3,45.8,0
1,0,0,0,16,0,1,0,0,0,0,0,0,0,0,1,0,38.55,852.7,0
0,0,1,1,0,1,0,2,1,1,1,1,1,1,1,0,1,32.5,105.5,0
1,0,0,1,0,1,0,1,0,0,2,0,2,2,0,0,3,108.0,575.45,1
1,0,1,1,36,1,2,2,1,1,1,1,1,1,2,1,0,37.55,1230.9,0
1,1,1,0,16,1,0,1,2,0,0,2,2,0,1,0,3,103.65,3128.8,0
0,1,1,1,10,0,1,0,0,0,0,0,2,0,0,1,2,49.4,973.65,0
0,0,1,1,17,0,1,0,2,0,0,2,2,0,2,1,1,59.85,1662.05,0
1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,63.05,393.45,0
1,0,0,0,1,1,2,0,0,0,2,2,0,0,0,0,2,73.05,1144.6,0
1,0,1,1,48,1,0,0,2,2,2,2,0,0,2,0,3,79.35,4097.05,0
0,0,1,1,34,1,2,1,0,2,2,0,2,0,1,1,1,109.2,4976.15,0
1,0,0,0,38,1,0,0,2,0,2,0,0,0,1,0,3,66.2,3019.7,0
0,0,0,0,0,1,0,2,1,1,1,1,1,1,1,1,3,33.3,198.25,0
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,57.8,134.5,1
1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,87.7,1133.9,1
0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,89.25,606.25,1
1,1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,33.55,20.05,1
1,0,1,0,13,1,2,1,2,2,0,2,0,0,0,1,1,104.05,2929.75,0
1,0,1,0,26,0,1,0,0,2,2,0,2,2,2,0,0,67.8,2390.45,0
1,0,0,0,33,1,2,1,0,2,2,2,0,0,0,1,2,100.85,4473.0,0
1,1,0,0,46,1,2,1,2,2,0,0,2,2,0,1,0,117.0,6548.65,0
1,0,1,1,20,1,2,1,0,2,2,0,2,0,0,1,2,108.15,3624.3,1
1,0,1,0,18,0,1,0,2,0,2,0,0,0,1,0,3,48.85,1317.95,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,38.65,99.95,0
1,0,1,1,20,1,2,1,0,0,2,0,2,2,0,1,1,114.65,3956.7,0
1,1,0,0,34,1,2,1,0,0,0,0,0,0,0,1,0,86.45,3829.75,0
1,0,1,0,15,1,2,0,2,2,2,0,2,0,0,1,0,86.25,2447.45,0
0,0,0,0,0,1,0,0,2,0,2,0,0,2,0,0,0,77.55,733.95,0
1,1,0,0,0,1,0,1,0,0,0,0,2,2,0,1,2,103.0,477.7,1
1,1,0,0,17,1,2,1,0,0,0,0,2,2,0,1,2,108.95,3474.05,1
1,0,0,0,3,1,0,0,0,0,2,0,0,2,0,0,3,75.15,1393.6,0
1,1,0,0,6,1,2,1,0,0,0,0,0,0,0,1,2,89.6,1712.7,1
1,1,1,0,53,1,2,2,1,1,1,1,1,1,2,0,0,37.45,1756.2,0
1,0,0,0,0,1,0,0,0,0,0,2,2,2,0,0,2,83.8,132.4,0
