gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,1,1,3,1,0,2,1,1,1,1,1,1,2,0,3,32.2,387.4,0
0,0,0,0,17,1,2,0,2,2,0,0,0,0,0,1,3,72.9,2033.85,0
0,0,1,1,10,1,0,1,0,0,0,0,2,2,0,1,2,102.8,2361.8,1
0,0,1,0,9,1,0,2,1,1,1,1,1,1,1,1,0,32.2,507.9,0
1,0,1,1,30,1,0,2,1,1,1,1,1,1,2,0,1,31.95,862.4,0
1,1,1,0,0,1,2,1,2,2,0,0,0,2,0,1,1,106.7,673.1,1
1,0,1,1,53,1,2,2,1,1,1,1,1,1,2,0,0,36.45,1718.2,0
1,0,0,0,24,1,2,1,0,2,2,0,2,2,0,1,1,116.5,4036.85,1
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,37.2,321.05,0
1,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,3,31.1,529.5,0
0,0,1,0,21,1,2,1,2,0,2,2,0,2,1,1,2,111.2,3754.6,1
1,0,1,1,7,0,1,0,0,0,0,2,0,0,0,1,0,42.35,678.75,0
0,1,1,0,1,1,2,1,0,0,0,0,2,2,0,1,2,104.55,1614.7,0
1,0,1,1,11,1,0,1,2,2,0,0,0,0,1,1,1,92.65,2209.75,0
1,0,0,0,0,1,2,2,1,1,1,1,1,1,0,1,0,37.05,152.95,0
1,0,1,0,0,1,0,2,1,1,1,1,1,1,0,0,3,32.0,38.0,0
0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,91.4,244.65,1
0,0,0,0,46,1,2,1,2,2,2,0,0,0,1,1,2,104.05,5755.8,0
1,0,1,1,0,1,0,2,1,1,1,1,1,1,0,1,0,32.15,20.15,0
0,0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,32.25,129.15,0
0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,86.75,1129.35,0
0,1,1,0,15,0,1,0,2,2,2,0,0,2,1,1,1,62.4,1580.1,0
1,0,1,0,36,1,0,1,2,2,2,2,2,2,2,1,2,118.3,5487.0,0
0,0,1,0,54,1,2,0,2,2,2,2,2,2,2,1,1,106.8,6859.05,0
1,0,0,0,23,1,2,1,0,0,0,0,0,0,0,0,2,87.25,3017.65,1
0,1,0,0,0,1,0,1,0,0,0,2,2,2,0,1,2,106.45,1511.2,1
1,0,1,0,0,1,2,1,0,0,2,0,2,2,0,1,2,110.5,1037.75,1
1,0,1,0,39,0,1,0,0,0,2,2,2,2,0,1,0,66.55,2978.3,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,57.35,89.5,1
0,0,1,0,4,1,0,2,1,1,1,1,1,1,0,0,0,31.25,375.25,0
0,0,1,1,0,1,2,1,0,2,0,0,0,0,0,1,1,91.95,1267.95,0
0,0,1,1,19,1,0,2,1,1,1,1,1,1,1,0,3,31.65,708.8,0
0,0,0,0,0,1,2,0,0,0,0,2,2,2,1,0,3,86.05,872.65,1
1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,91.95,1043.4,0
0,0,0,0,24,1,2,1,0,0,2,2,2,2,1,1,1,117.95,4335.2,0
0,0,0,0,12,1,0,1,0,0,0,0,0,2,0,1,2,92.6,2244.95,0
0,0,0,1,3,1,2,0,2,2,0,2,2,0,0,1,3,87.9,1375.6,0
1,0,0,0,1,1,0,1,0,2,2,0,0,2,0,1,1,102.95,1612.2,0
1,0,0,0,1,1,2,1,0,0,2,2,0,2,0,1,0,107.65,1640.0,0
0,1,0,0,25,1,2,1,2,2,2,0,2,2,0,1,2,125.2,4689.5,1
0,0,1,1,14,1,2,2,1,1,1,1,1,1,2,1,3,37.1,789.55,0
0,0,0,0,36,0,1,0,2,2,0,2,0,0,2,0,3,51.1,1982.1,0
1,1,1,0,1,1,2,1,0,0,0,0,2,2,0,1,2,106.8,1563.9,0
1,0,1,1,54,1,2,2,1,1,1,1,1,1,2,0,3,37.4,1782.05,0
1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,86.7,74.7,1
1,1,0,0,29,1,2,1,0,0,0,0,2,2,0,1,0,105.9,4200.25,0
0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1,2,86.4,139.4,1
1,0,1,1,15,1,2,1,2,0,2,0,2,0,1,0,0,110.05,3082.1,0
1,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,1,32.4,1414.45,0
