gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,52,1,2,1,2,2,2,2,2,2,1,1,2,124.0,7396.15,0
0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,3,64.2,55.2,1
1,0,1,1,58,1,2,0,2,2,2,2,2,0,2,1,0,88.25,5731.85,0
0,0,0,0,48,1,0,0,0,2,2,2,2,0,1,1,1,79.15,4224.7,0
1,0,1,1,56,1,2,0,0,2,2,2,0,2,1,1,0,84.8,5293.95,1
0,0,1,1,60,1,2,1,2,2,2,2,2,2,2,1,0,124.8,8476.5,0
1,0,1,1,6,1,0,2,1,1,1,1,1,1,1,0,0,29.05,345.9,0
0,0,1,0,52,1,0,1,2,0,2,0,2,2,2,1,0,108.0,6375.8,0
0,1,1,0,15,1,2,0,0,2,2,2,2,2,0,0,2,92.85,2310.2,0
1,1,1,0,41,1,2,1,0,2,0,0,2,2,0,1,2,110.9,5549.4,1
0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,1,0,88.35,79.35,1
1,0,1,1,22,1,0,1,0,0,2,0,2,0,0,1,3,93.05,2909.95,0
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,78.95,562.7,0
0,0,1,1,14,1,0,2,1,1,1,1,1,1,2,0,1,28.65,494.9,0
0,0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,29.45,34.8,0
1,0,1,1,30,1,0,2,1,1,1,1,1,1,2,0,3,29.7,828.85,0
1,0,0,1,35,1,0,0,2,2,0,0,0,0,0,1,2,64.3,2654.05,0
1,0,0,0,12,1,2,1,0,2,2,0,0,0,0,1,0,93.85,2048.8,0
0,0,0,0,50,1,2,0,0,2,2,2,2,2,2,0,0,93.5,5193.2,0
0,0,1,0,21,0,1,0,2,0,2,2,2,2,2,0,0,68.55,2016.3,0
0,0,0,0,48,1,2,0,0,0,2,2,2,2,1,0,1,89.55,4847.05,0
0,0,1,1,0,1,0,0,0,0,0,0,2,2,0,0,3,74.7,134.35,1
1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,39.5,208.7,1
1,0,1,1,0,1,0,1,0,0,0,0,2,2,0,1,0,98.55,185.55,1
0,0,1,0,11,1,0,0,0,0,0,2,2,0,1,0,0,69.0,1347.15,0
1,0,1,1,10,1,0,2,1,1,1,1,1,1,1,0,3,28.95,433.5,0
1,1,0,0,0,1,2,1,0,0,2,0,2,0,0,0,2,100.05,289.1,1
0,1,1,0,19,1,2,1,0,0,2,0,2,0,1,1,2,99.7,2835.5,0
0,0,1,1,56,1,2,0,2,2,2,0,2,0,1,1,1,82.0,5163.0,0
1,1,0,0,7,1,2,1,2,0,0,0,2,0,0,1,2,99.6,1660.0,1
1,0,1,1,3,1,0,2,1,1,1,1,1,1,0,1,2,29.0,288.05,1
0,0,0,1,51,1,0,2,1,1,1,1,1,1,2,0,1,28.5,1215.1,0
0,1,1,0,44,1,2,1,0,0,0,2,0,0,0,1,0,85.85,4275.75,0
0,0,1,0,59,1,2,0,2,2,2,2,2,2,2,0,0,96.95,6365.35,0
1,1,0,0,18,1,2,1,2,0,0,0,0,2,0,1,1,99.5,2595.85,0
0,0,0,0,23,1,2,1,0,0,0,0,2,0,0,1,2,95.45,3029.1,1
1,1,1,0,0,1,2,1,0,2,0,0,2,2,0,1,2,110.35,1218.55,1
0,0,0,1,11,1,0,0,0,0,0,2,0,0,1,1,2,58.45,1119.35,0
1,0,1,1,0,1,0,2,1,1,1,1,1,1,0,1,2,29.45,250.8,0
1,0,1,1,59,1,2,0,2,2,2,2,2,2,2,0,1,99.3,6287.3,0
0,0,0,0,7,1,0,0,0,2,0,0,2,0,1,0,2,67.2,1045.25,0
0,1,1,0,56,1,2,1,2,2,0,0,0,2,1,1,1,105.55,6581.9,1
1,0,1,0,38,1,2,1,0,0,0,2,2,2,1,0,2,108.4,5059.75,0
0,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,2,29.2,65.95,0
0,1,1,0,57,1,0,1,2,2,0,0,0,2,1,0,1,96.3,6055.55,0
1,0,1,0,60,1,2,1,2,2,2,2,2,2,2,1,1,123.1,8086.4,0
0,0,0,0,59,1,0,0,2,2,2,2,2,0,2,0,1,86.35,5550.1,0
0,1,1,0,0,1,0,1,0,0,0,2,2,0,0,1,2,91.9,880.05,0
0,0,0,0,17,1,2,2,1,1,1,1,1,1,0,0,2,34.15,702.0,0
1,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,2,85.45,1117.55,0
0,1,1,0,0,1,2,1,0,2,2,0,2,0,0,1,2,107.1,1060.2,1
1,0,0,0,27,1,0,2,1,1,1,1,1,1,1,0,3,28.9,791.15,0
0,0,0,0,15,1,0,2,1,1,1,1,1,1,2,1,0,29.25,538.2,0
0,1,1,0,31,1,2,1,2,2,0,0,2,0,0,1,2,103.5,4156.8,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,78.95,69.95,1
1,0,1,0,41,0,1,0,0,2,2,2,2,2,1,1,2,69.45,3184.25,1
0,1,0,0,0,1,0,1,0,2,0,0,2,0,0,1,2,96.1,713.6,0
1,0,1,0,48,1,2,2,1,1,1,1,1,1,1,0,0,33.15,1505.9,0
0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,2,44.0,35.0,0
1,1,1,0,59,1,2,1,2,2,2,0,2,2,0,1,2,116.5,7713.55,0
0,0,0,0,60,1,2,1,0,2,2,2,2,2,2,1,1,117.05,7806.6,0
1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,85.05,231.8,1
1,1,1,0,57,1,2,1,0,2,0,0,2,0,0,1,2,98.95,6143.15,1
0,0,0,0,1,1,0,0,2,2,0,2,0,2,0,0,0,76.8,842.25,0
0,0,0,0,5,1,0,1,0,2,0,0,2,0,0,1,2,92.55,1329.15,0
1,0,0,0,13,1,0,2,1,1,1,1,1,1,0,0,3,29.6,541.5,0
1,0,1,0,28,1,0,1,0,2,2,0,0,0,1,0,2,89.8,3132.75,0
1,0,1,1,56,0,1,0,2,2,2,2,0,2,2,1,3,65.4,3948.45,0
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,53.7,44.7,1
