gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,0,0,64,1,2,1,0,0,2,2,2,2,1,1,1,104.65,6889.8,0
0,0,1,1,14,1,2,0,0,2,0,2,2,2,0,0,1,80.45,1137.05,0
1,0,1,1,50,1,2,1,2,0,2,0,2,2,0,0,1,105.95,5341.8,1
1,0,0,0,65,1,2,2,1,1,1,1,1,1,1,0,1,24.8,1600.95,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,18.9,18.9,0
1,0,1,0,34,1,2,1,0,0,2,0,2,2,0,0,2,100.85,3527.3,0
1,0,0,0,6,1,0,2,1,1,1,1,1,1,1,0,3,19.15,124.4,0
1,0,1,1,68,1,2,1,2,2,2,2,2,2,2,1,0,114.7,7849.85,0
0,1,0,0,49,1,2,1,0,0,2,0,0,2,0,1,1,90.85,4515.85,1
0,0,0,0,13,1,0,2,1,1,1,1,1,1,0,1,3,20.3,275.4,0
1,1,0,0,3,1,2,1,0,2,2,0,2,2,0,1,2,105.0,294.45,1
0,0,1,1,56,1,2,0,2,2,0,0,0,2,1,0,0,68.75,3815.4,0
1,0,0,0,42,1,2,1,0,0,2,0,0,0,0,0,2,79.9,3313.4,0
1,1,1,1,65,1,2,1,2,2,0,0,0,0,0,1,2,85.75,5688.45,0
1,0,0,0,10,1,2,1,0,0,0,0,0,0,0,0,2,75.05,786.3,0
0,0,0,0,65,1,0,0,2,2,0,2,0,0,2,1,3,59.6,3739.8,0
0,0,0,0,29,1,2,1,0,0,2,0,2,2,0,0,0,100.55,2878.75,0
0,0,1,1,33,1,2,1,0,0,0,0,0,2,0,0,1,86.15,2745.7,1
1,0,1,1,58,1,0,2,1,1,1,1,1,1,1,1,2,19.55,1108.8,0
0,1,0,0,6,1,0,1,2,0,0,0,0,0,0,1,2,74.1,450.9,0
1,0,0,0,69,1,2,1,0,2,2,2,2,0,2,1,1,97.65,6743.55,0
0,0,1,0,69,1,0,1,0,2,0,0,2,2,1,1,1,95.65,6744.2,0
0,0,0,0,6,0,1,0,2,2,2,2,2,2,2,1,3,63.4,348.8,0
1,0,1,1,72,1,2,1,2,2,2,2,2,0,2,1,1,106.1,7548.6,0
1,0,0,0,10,1,0,0,0,0,0,0,0,2,0,1,0,56.75,503.25,0
0,0,1,1,38,1,0,2,1,1,1,1,1,1,1,0,1,19.6,763.1,0
1,1,1,0,7,1,2,1,0,0,0,0,0,0,0,1,3,74.4,527.9,1
1,0,1,0,67,1,2,1,0,2,2,0,0,2,2,1,2,93.15,6368.2,0
1,1,1,0,63,1,2,1,2,2,2,0,2,2,2,0,1,108.5,6991.9,0
0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,3,19.4,1346.2,0
1,0,1,0,47,1,2,1,0,0,0,0,2,2,1,1,1,95.2,4563.0,0
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,2,20.35,1354.4,0
1,0,1,0,23,1,0,2,1,1,1,1,1,1,1,0,1,19.3,486.2,0
0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,1
0,0,0,1,31,1,0,2,1,1,1,1,1,1,1,0,1,20.1,589.25,0
0,0,0,0,3,1,0,2,1,1,1,1,1,1,0,0,3,19.85,57.2,0
1,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,96.75,6125.4,1
0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,3,24.25,96.05,1
0,0,0,0,7,1,2,0,0,0,0,2,2,2,0,1,2,74.65,521.1,1
1,0,1,1,44,1,2,2,1,1,1,1,1,1,1,0,3,25.7,1110.5,0
0,0,0,0,16,1,0,2,1,1,1,1,1,1,1,0,0,20.1,318.6,0
1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,1,3,19.45,69.25,0
1,0,1,0,56,1,2,0,0,2,2,0,0,0,2,0,1,59.5,3389.25,0
1,0,1,1,34,1,0,1,0,0,0,0,0,2,1,1,0,78.95,2647.2,0
0,0,0,0,30,1,2,0,2,0,2,0,2,2,1,1,1,79.3,2427.1,0
1,0,0,0,46,1,2,1,2,0,0,0,2,0,0,1,1,89.15,4245.55,0
0,0,1,0,54,1,2,1,0,2,2,2,2,2,1,0,2,110.35,5893.15,1
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,655.5,1
0,0,0,0,25,0,1,0,2,2,2,0,2,2,1,0,2,61.05,1540.2,0
0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,2,54.65,54.65,0
1,0,1,1,25,1,0,0,0,2,2,0,0,0,1,0,3,53.65,1355.45,0
1,0,1,0,71,1,0,0,2,2,2,2,2,2,2,1,0,86.1,6045.9,0
0,0,1,1,11,1,2,0,0,0,0,2,0,2,0,1,2,66.35,740.8,1
1,0,1,1,61,1,2,1,0,0,2,0,2,2,1,1,2,99.9,6241.35,0
1,0,0,0,6,1,0,1,0,2,0,0,2,0,0,1,2,85.35,489.45,1
0,0,1,1,50,1,2,0,0,2,2,2,2,2,1,1,1,84.15,4164.4,0
0,0,1,1,50,1,2,0,0,2,2,2,2,2,1,1,1,84.15,4164.4,0
0,0,0,0,42,1,2,0,2,2,0,0,0,0,1,1,0,60.15,2421.6,0
0,0,0,0,43,0,1,0,0,0,2,0,2,2,0,1,0,49.05,2076.2,1
1,0,0,0,9,1,0,0,2,0,2,2,2,0,0,1,3,69.5,653.25,0
0,0,0,1,53,1,2,0,0,2,2,2,2,2,1,1,2,84.6,4449.75,0
0,0,0,1,15,1,0,1,0,2,0,0,0,2,0,1,0,85.9,1269.55,1
0,0,0,0,45,1,0,1,2,2,0,0,2,2,1,1,2,100.3,4483.95,0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.5,69.5,1
1,0,1,1,54,1,2,2,1,1,1,1,1,1,2,1,0,24.05,1230.9,0
0,0,1,1,59,1,2,0,2,2,0,2,0,0,1,0,3,65.5,3801.3,0
0,1,1,0,32,1,2,1,0,0,0,0,2,0,0,1,1,85.95,2628.6,1
1,0,1,0,61,1,2,0,0,2,2,0,2,2,1,1,2,79.8,4914.8,0
0,0,0,0,30,1,2,0,2,0,2,0,2,2,1,1,1,79.3,2427.1,0
1,0,1,0,51,0,1,0,0,2,0,0,0,0,0,1,1,30.05,1529.45,0
1,1,1,0,31,1,2,1,2,0,0,0,2,0,0,0,2,89.45,2807.65,0
1,0,0,0,1,1,2,1,0,0,0,0,2,0,0,1,3,84.65,84.65,1
1,0,1,1,22,1,0,0,2,0,2,2,2,0,1,1,0,67.5,1544.05,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.35,45.35,0
0,0,0,0,3,1,0,2,1,1,1,1,1,1,0,0,2,20.2,65.95,0
1,0,0,1,31,1,2,0,0,2,0,2,2,2,1,1,3,79.45,2587.7,1
0,0,0,1,18,1,2,0,2,0,0,0,0,0,0,0,3,57.65,992.7,0
0,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,20.25,71.2,0
1,0,1,0,71,1,2,1,0,2,0,2,2,2,2,1,1,104.15,7365.3,0
0,0,1,1,61,1,0,2,1,1,1,1,1,1,0,1,3,19.4,1182.55,1
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,1,25.95,1801.9,0
0,0,0,1,41,1,0,0,0,0,0,0,0,0,0,0,0,45.2,1841.9,0
1,0,1,1,28,1,2,1,2,2,0,0,2,2,1,0,2,106.1,2847.4,1
1,0,1,1,62,1,2,1,2,2,0,0,2,0,1,1,1,94.95,5791.85,0
0,0,0,1,62,1,2,2,1,1,1,1,1,1,2,0,0,26.0,1638.7,0
1,0,0,0,12,1,0,0,0,2,0,2,0,0,0,1,3,53.75,648.65,0
1,1,0,0,19,1,2,1,0,0,2,0,0,0,0,1,2,79.85,1471.75,1
0,0,1,1,36,1,0,2,1,1,1,1,1,1,2,0,0,20.25,717.95,0
0,0,0,1,15,1,0,0,2,2,2,2,0,0,1,0,1,65.6,1010.0,0
1,0,1,1,19,1,2,1,0,0,2,2,2,2,0,0,2,103.3,2012.7,1
1,0,1,0,31,1,2,0,0,0,0,0,2,0,0,1,1,59.05,1882.8,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,21.1,21.1,0
1,0,1,0,56,1,2,0,0,2,2,0,0,0,2,0,1,59.5,3389.25,0
1,1,1,0,52,1,2,1,2,0,2,0,2,2,0,1,2,104.2,5568.35,1
0,0,0,0,33,1,2,1,2,0,0,0,0,2,0,1,2,90.65,2989.6,0
0,0,1,1,33,1,0,1,0,0,2,0,2,2,1,1,2,93.8,3124.5,1
