gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,34,1,0,1,0,2,2,0,2,2,1,1,2,107.55,4692.95,0
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3,56.35,45.85,1
0,0,1,0,55,1,0,1,0,2,0,0,2,2,1,1,1,106.15,6744.2,0
0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,2,70.5,487.75,0
0,1,1,1,0,1,2,1,0,0,2,0,0,0,0,1,1,88.6,864.85,0
1,1,0,0,10,1,2,1,0,2,0,0,2,2,0,1,2,111.75,2440.15,1
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,30.95,255.35,0
1,1,1,0,26,1,0,0,0,0,0,0,0,2,1,0,2,66.3,2283.3,0
1,0,1,1,58,1,2,0,2,2,2,2,2,0,2,0,0,92.8,5815.15,0
0,0,1,1,20,1,2,1,0,0,2,0,2,0,0,0,2,97.95,2874.15,1
0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,59.9,408.25,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,55.65,416.45,1
0,0,0,0,46,1,2,1,0,2,2,0,2,2,2,0,2,115.2,6333.8,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,55.15,322.5,0
0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,84.8,1096.25,1
0,0,1,0,29,1,2,1,2,2,0,0,0,2,0,1,2,104.6,4107.3,0
0,0,0,0,0,1,0,2,1,1,1,1,1,1,2,0,1,30.15,116.85,0
1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,1,1,65.0,568.2,0
0,0,1,0,42,1,2,1,2,2,2,0,2,2,1,0,0,120.3,6109.65,0
0,0,1,0,0,1,0,0,2,0,2,2,2,2,0,0,0,91.75,580.1,0
1,0,1,0,8,1,2,1,2,0,0,2,2,0,0,0,1,106.4,2234.95,0
0,0,1,0,0,1,2,1,0,2,0,0,0,2,0,1,1,102.0,242.95,1
1,1,1,0,13,1,2,0,0,2,2,2,2,2,0,1,0,95.3,2309.55,0
1,0,0,1,0,1,0,0,0,0,0,2,2,2,0,0,3,81.2,225.65,0
1,0,0,0,5,1,0,2,1,1,1,1,1,1,1,1,1,30.2,386.5,0
